code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
004320,前海开源沪港深乐享生活,2026-04-27,5.5573,5.5573,0.86,4.49,39.61,55.44,101.31,324.25
025421,浦银安盛数字经济混合A,2026-04-27,1.9361,1.9361,0.88,-0.72,23.85,47.58,90.22,0.0
025422,浦银安盛数字经济混合C,2026-04-27,1.9292,1.9292,0.88,-0.73,23.81,47.21,89.62,0.0
016873,广发远见智选混合A,2026-04-27,1.9141,1.9141,-0.13,2.19,24.33,38.7,83.55,157.62
016874,广发远见智选混合C,2026-04-27,1.8821,1.8821,-0.14,2.18,24.28,38.53,83.12,156.38
168002,国寿安保策略精选混合A,2026-04-27,3.2027,3.2527,1.95,2.67,22.83,48.45,81.32,104.59
022124,国寿安保策略精选混合C,2026-04-27,2.2961,2.2961,1.95,2.67,22.79,48.32,80.97,103.79
290008,泰信发展主题混合,2026-04-27,2.84,3.279,1.83,5.77,17.07,34.03,80.66,183.72
024459,华商致远回报混合A,2026-04-27,2.773,2.773,0.48,2.03,29.37,54.24,80.56,0.0
024460,华商致远回报混合C,2026-04-27,2.7606,2.7606,0.48,2.02,29.31,54.04,80.05,0.0
002862,金信量化精选混合A,2026-04-27,2.108,2.4389,0.5,2.56,23.91,35.2,79.25,126.16
011369,华商均衡成长混合A,2026-04-27,3.1965,3.1965,0.27,1.34,27.66,51.42,79.07,291.92
020434,金信量化精选混合C,2026-04-27,2.0918,2.0918,0.5,2.56,23.86,35.02,78.76,124.83
011370,华商均衡成长混合C,2026-04-27,3.1014,3.1014,0.27,1.33,27.59,51.2,78.54,289.62
020722,国寿安保数字经济股票发起式A,2026-04-27,2.7227,2.7227,1.73,2.3,25.91,57.99,77.16,108.59
020723,国寿安保数字经济股票发起式C,2026-04-27,2.6957,2.6957,1.73,2.29,25.86,57.82,76.73,107.57
008528,华泰柏瑞质量成长A,2026-04-27,2.8712,2.8712,0.78,2.8,29.15,53.04,72.68,308.13
011452,华泰柏瑞质量成长C,2026-04-27,2.8151,2.8151,0.77,2.79,29.11,52.81,72.24,306.34
001877,宝盈国家安全沪港深股票A,2026-04-27,3.4085,3.4085,1.48,2.81,26.77,22.9,66.77,165.09
290014,泰信现代服务业混合,2026-04-27,2.985,3.045,0.98,5.29,13.5,24.95,66.48,155.13
002125,广发新兴成长混合A,2026-04-27,2.4831,2.4831,-0.29,1.98,31.19,44.56,66.39,171.61
013613,宝盈国家安全沪港深股票C,2026-04-27,3.3182,3.3182,1.47,2.79,26.7,22.72,66.28,163.64
018291,广发新兴成长混合C,2026-04-27,2.4353,2.4353,-0.29,1.97,31.13,44.38,66.01,170.35
010415,华泰柏瑞质量精选混合A,2026-04-27,2.0015,2.0015,0.68,3.22,28.98,50.99,65.78,301.34
015789,永赢高端装备智选混合发起A,2026-04-27,1.5338,1.5338,0.33,-3.62,11.73,-7.59,65.66,104.89
010416,华泰柏瑞质量精选混合C,2026-04-27,1.9531,1.9531,0.68,3.2,28.92,50.96,65.55,299.73
015790,永赢高端装备智选混合发起C,2026-04-27,1.5109,1.5109,0.32,-3.62,11.69,-7.68,65.32,104.07
011891,易方达先锋成长混合A,2026-04-27,3.5614,3.5614,1.29,1.76,31.71,50.5,64.56,279.76
006265,红土创新新科技股票A,2026-04-27,8.2112,8.2612,0.71,4.82,24.41,41.59,64.36,217.37
011892,易方达先锋成长混合C,2026-04-27,3.4955,3.4955,1.28,1.75,31.66,50.31,64.19,278.14
460007,华泰柏瑞行业领先混合,2026-04-27,5.667,5.667,-0.21,4.33,28.88,43.65,64.12,172.32
010115,易方达远见成长混合A,2026-04-27,3.2252,3.2252,1.3,1.82,31.76,50.28,63.87,276.73
018358,华富数字经济混合A,2026-04-27,2.4699,2.4699,2.35,1.49,25.03,32.53,63.84,167.57
011412,易方达远见成长混合C,2026-04-27,3.1592,3.1592,1.29,1.81,31.71,50.13,63.53,275.2
018359,华富数字经济混合C,2026-04-27,2.4419,2.4419,2.34,1.48,24.98,32.41,63.51,166.5
